timestamp,session_id,codice_persona,punteggio_sorriso_0_100,apertura_bocca,occhio_sx,occhio_dx,apertura_spalle,inclinazione_spalle,inclinazione_busto,stato_posturale,valence,arousal,head_yaw,head_pitch,head_roll,head_pose_sorgente,attenzione_schermo,calibrazione_postura,etichetta_reale,emozione
2026-07-12T14:23:43,f57d629f,7,0.0,0.013,0.9689,0.9815,0.3269,173.8186,14.8503,POSTURA NEUTRA,-1.0,0.0386,3.1736,2.4112,-4.0914,MATRICE,1,IN CORSO,,NEUTRO
2026-07-12T14:23:43,f57d629f,7,0.0,0.0122,0.6583,0.6757,0.3345,173.6259,16.7955,POSTURA CHIUSA,-1.0,0.1837,2.3102,1.5072,-3.8958,MATRICE,1,IN CORSO,,NEUTRO
2026-07-12T14:23:44,f57d629f,7,0.0,0.0092,0.6647,0.7611,0.3353,173.5824,16.3012,POSTURA CHIUSA,-1.0,0.2175,2.8386,0.891,-3.6292,MATRICE,1,IN CORSO,,ARRABBIATO
2026-07-12T14:23:44,f57d629f,7,0.0,0.0082,0.9206,0.9698,0.3363,173.4227,16.7482,POSTURA CHIUSA,-1.0,0.2108,2.7524,0.9322,-3.6192,MATRICE,1,IN CORSO,,TESO
2026-07-12T14:23:45,f57d629f,7,0.0,0.0096,0.9588,0.9878,0.3368,173.2157,16.3529,POSTURA CHIUSA,-1.0,0.2101,2.8207,1.2939,-3.7015,MATRICE,1,IN CORSO,,TESO
2026-07-12T14:23:45,f57d629f,7,0.0,0.0109,0.9483,0.9812,0.3353,173.3356,16.72,POSTURA CHIUSA,-1.0,0.2126,2.9178,1.3606,-4.0166,MATRICE,1,IN CORSO,,TESO
2026-07-12T14:23:46,f57d629f,7,0.0,0.0109,0.94,0.9807,0.3375,173.0673,16.6634,POSTURA CHIUSA,-1.0,0.2155,2.895,1.1596,-4.3854,MATRICE,1,IN CORSO,,TESO
2026-07-12T14:23:47,f57d629f,7,0.0,0.0103,0.9413,0.9833,0.3342,173.0092,16.7512,POSTURA NEUTRA,-1.0,0.092,2.7793,1.089,-4.3234,MATRICE,1,COMPLETATA,,TESO
2026-07-12T14:23:47,f57d629f,7,0.0,0.0179,0.838,0.9108,0.3362,172.7616,16.585,POSTURA NEUTRA,-1.0,0.0444,2.8841,1.8005,-4.1592,MATRICE,1,COMPLETATA,,ARRABBIATO
2026-07-12T14:23:48,f57d629f,7,0.0,0.0165,0.7796,0.8828,0.3346,172.4759,15.8189,POSTURA NEUTRA,-1.0,0.0375,3.2237,1.6809,-4.0167,MATRICE,1,COMPLETATA,,ARRABBIATO
